country,region,developed,sub-region
Afghanistan,Asia,Emerging,Asia emerging
Albania,Europe,Emerging,Europe emerging
Algeria,Africa,Emerging,Africa
American Samoa,Oceania,Emerging,Asia emerging
Andorra,Europe,Developed,Europe developed
Angola,Africa,Emerging,Africa
Anguilla,Americas,Emerging,South America
Antigua and Barbuda,Americas,Emerging,South America
Argentina,Americas,Emerging,South America
Armenia,Asia,Emerging,Asia emerging
Aruba,Americas,Emerging,South America
Australia,Oceania,Developed,Asia developed
Austria,Europe,Developed,Europe developed
Azerbaijan,Asia,Emerging,Asia emerging
Bahamas,Americas,Emerging,South America
Bahrain,Asia,Emerging,Asia emerging
Bangladesh,Asia,Emerging,Asia emerging
Barbados,Americas,Emerging,South America
Belarus,Europe,Emerging,Europe emerging
Belgium,Europe,Developed,Europe developed
Belize,Americas,Emerging,South America
Benin,Africa,Emerging,Africa
Bermuda,Americas,Developed,North America
Bhutan,Asia,Emerging,Asia emerging
Bolivia (Plurinational State of),Americas,Emerging,South America
"Bonaire, Sint Eustatius and Saba",Americas,Emerging,South America
Bosnia and Herzegovina,Europe,Emerging,Europe emerging
Botswana,Africa,Emerging,Africa
Bouvet Island,Americas,Emerging,South America
Brazil,Americas,Emerging,South America
British Indian Ocean Territory,Africa,Emerging,Africa
British Virgin Islands,Americas,Emerging,South America
Brunei Darussalam,Asia,Emerging,Asia emerging
Bulgaria,Europe,Emerging,Europe emerging
Burkina Faso,Africa,Emerging,Africa
Burundi,Africa,Emerging,Africa
Cabo Verde,Africa,Emerging,Africa
Cambodia,Asia,Emerging,Asia emerging
Cameroon,Africa,Emerging,Africa
Canada,Americas,Developed,North America
Cayman Islands,Americas,Emerging,South America
Central African Republic,Africa,Emerging,Africa
Chad,Africa,Emerging,Africa
Chile,Americas,Emerging,South America
China,Asia,Emerging,Asia emerging
Hong Kong,Asia,Developed,Asia developed
Macau,Asia,Developed,Asia developed
Christmas Island,Oceania,Emerging,Asia emerging
Cocos (Keeling) Islands,Oceania,Emerging,Asia emerging
Colombia,Americas,Emerging,South America
Comoros,Africa,Emerging,Africa
Congo,Africa,Emerging,Africa
Cook Islands,Oceania,Emerging,Asia emerging
Costa Rica,Americas,Emerging,South America
Croatia,Europe,Emerging,Europe emerging
Cuba,Americas,Emerging,South America
Curaçao,Americas,Emerging,South America
Cyprus,Asia,Developed,Asia developed
Czech Republic,Europe,Developed,Europe developed
Côte d'Ivoire,Africa,Emerging,Africa
Democratic People's Republic of Korea,Asia,Emerging,Asia emerging
Democratic Republic of the Congo,Africa,Emerging,Africa
Denmark,Europe,Developed,Europe developed
Djibouti,Africa,Emerging,Africa
Dominica,Americas,Emerging,South America
Dominican Republic,Americas,Emerging,South America
Ecuador,Americas,Emerging,South America
Egypt,Africa,Emerging,Africa
El Salvador,Americas,Emerging,South America
Equatorial Guinea,Africa,Emerging,Africa
Eritrea,Africa,Emerging,Africa
Estonia,Europe,Developed,Europe developed
Eswatini,Africa,Emerging,Africa
Ethiopia,Africa,Emerging,Africa
Falkland Islands (Malvinas),Americas,Emerging,South America
Faroe Islands,Europe,Developed,Europe developed
Fiji,Oceania,Emerging,Asia emerging
Finland,Europe,Developed,Europe developed
France,Europe,Developed,Europe developed
French Guiana,Americas,Emerging,South America
